title,product_url,brand,price,rating,review_count,shipping
MSI Suprim GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card RTX 5090 32G SUPRIM LIQUID SOC,https://www.newegg.com/msi-rtx-5090-32g-suprim-liquid-soc-geforce-rtx-5090-32gb-graphics-card-liquid-cooler/p/N82E16814137916,MSI,3229.99,4.6,17.0,Free Shipping
ASUS ROG Astral GeForce RTX 5090 32GB GDDR7 OC Edition ROG-ASTRAL-RTX5090-O32G-GAMING DLSS 4.0 PCI Express 5.0 Graphics Card,https://www.newegg.com/asus-rog-astral-rog-astral-rtx5090-o32g-gaming-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814126751,ASUS,3359.99,4.5,81.0,Free Shipping
MSI Ventus GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card RTX 5090 32G VENTUS 3X OC,https://www.newegg.com/msi-rtx-5090-32g-ventus-3x-oc-geforce-rtx-5090-32gb-graphics-card/p/N82E16814137920,MSI,2799.0,4.7,22.0,Free Shipping
ASUS ROG Astral GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card ROG-ASTRAL-RTX5090-O32G-WHITE,https://www.newegg.com/asus-rog-astral-rog-astral-rtx5090-o32g-white-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814126814,ASUS,3399.99,4.5,81.0,Free Shipping
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 x16 ATX Graphics Card RTX 5090 ARCTICSTORM AIO ZT-B50900K-30P,https://www.newegg.com/zotac-rtx-5090-arcticstorm-aio-geforce-rtx-5090-32gb-graphics-card-liquid-cooler/p/N82E16814500630,ZOTAC,2799.99,4.8,5.0,Free Shipping
GIGABYTE AORUS GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 x16 Graphics Card AORUS RTX 5090 AI BOX GV-N5090IXEB-32GD,https://www.newegg.com/gigabyte-aorus-rtx-5090-ai-box-geforce-rtx-5090-32gb-graphics-card-liquid-cooler/p/N82E16814932821,GIGABYTE,2999.99,4.3,120.0,Free Shipping
ZOTAC SOLID OC White Edition GeForce RTX 5090 32GB 512-Bit GDDR7 PCI Express 5.0 x16 DLSS 4.0 Graphics Card ZT-B50900Q-10P SOLID OC White Edition,https://www.newegg.com/zotac-gaming-geforce-rtx-5090-solid-oc-white-edition-32gb-graphics-card-triple-fans/p/N82E16814500615,ZOTAC,4599.0,5.0,3.0,Free Shipping
GIGABYTE AORUS GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 x16 ATX Graphics Card GV-N5090AORUSST ICE-32GD,https://www.newegg.com/gigabyte-gv-n5090aorusst-ice-32gd-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814932810,GIGABYTE,4422.9,4.3,120.0,Free Shipping
GIGABYTE Gaming GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5090GAMING OC-32GD,https://www.newegg.com/gigabyte-gv-n5090gaming-oc-32gd-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814932761,GIGABYTE,2919.99,4.3,120.0,Free Shipping
MSI Gaming GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card RTX 5090 32G GAMING TRIO OC,https://www.newegg.com/msi-rtx-5090-32g-gaming-trio-oc-geforce-rtx-5090-32gb-graphics-card/p/N82E16814137919,MSI,2636.99,4.6,35.0,Free Shipping
